source_url,link_url,link_title
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Special:Random,"""Lecithocera disperma - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Toni_Preckwinkle,"""Toni Preckwinkle - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard,"""Wikipedia:File Upload Wizard - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Portal:Society,"""Portal:Society - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Template:POTD/2022-03-16,"""Template:POTD/2022-03-16 - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Wikipedia:Community_portal,"""Wikipedia:Community portal - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/The_Colossus_of_Rhodes_(Dal%C3%AD),"""The Colossus of Rhodes (Dalí) - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Action_of_19_August_1916,"""Action of 19 August 1916 - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/The_Power_of_the_Dog_(film),"""The Power of the Dog (film) - Wikipedia"""
https://en.wikipedia.org/wiki/Main_Page,https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,"""Imperial Trans-Antarctic Expedition - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,https://en.wikipedia.org/wiki/Alfred_Cheetham,"""Alfred Cheetham - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,https://en.wikipedia.org/wiki/Northern_Sea_Route,"""Northern Sea Route - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,https://en.wikipedia.org/wiki/Polar_exploration,"""Polar exploration - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_ref-Shackleton119_73-0,"""Imperial Trans-Antarctic Expedition - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,https://en.wikipedia.org/wiki/Thomas_McLeod_(sailor),"""Thomas McLeod (sailor) - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,https://en.wikipedia.org/wiki/USS_Vincennes_(1826),"""USS Vincennes (1826) - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,https://en.wikipedia.org/wiki/Brendan,"""Brendan - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_ref-25,"""Imperial Trans-Antarctic Expedition - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,https://en.wikipedia.org/wiki/Jackie_Ronne,"""Jackie Ronne - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition,https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,"""Imperial Trans-Antarctic Expedition - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-87,"""Imperial Trans-Antarctic Expedition - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-94,"""Imperial Trans-Antarctic Expedition - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,https://en.wikipedia.org/wiki/Special:BookSources/9780786706211,"""Book sources - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,https://en.wikipedia.org/w/index.php?title=Template:Polar_exploration&action=edit,"""View source for Template:Polar exploration - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,https://en.wikipedia.org/wiki/Nobu_Shirase,"""Nobu Shirase - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,https://en.wikipedia.org/w/index.php?title=Imperial_Trans-Antarctic_Expedition&oldid=1077509742,"""Imperial Trans-Antarctic Expedition - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,https://en.wikipedia.org/wiki/James_McIlroy_(surgeon),"""James McIlroy (surgeon) - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-79,"""Imperial Trans-Antarctic Expedition - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,https://en.wikipedia.org/wiki/John_Rymill,"""John Rymill - Wikipedia"""
https://en.wikipedia.org/wiki/Imperial_Trans-Antarctic_Expedition#cite_note-Fisher383-90,https://en.wikipedia.org/wiki/Louis_Palander,"""Louis Palander - Wikipedia"""
https://en.wikipedia.org/wiki/Louis_Palander,https://en.wikipedia.org/wiki/Kurbat_Ivanov,"""Kurbat Ivanov - Wikipedia"""
https://en.wikipedia.org/wiki/Louis_Palander,https://en.wikipedia.org/wiki/USS_Advance_(1847),"""USS Advance (1847) - Wikipedia"""
https://en.wikipedia.org/wiki/Louis_Palander,https://en.wikipedia.org/wiki/Otto_Schmidt,"""Otto Schmidt - Wikipedia"""
https://en.wikipedia.org/wiki/Louis_Palander,https://en.wikipedia.org/wiki/Special:MyTalk,"""User talk:35.21.89.35 - Wikipedia"""
https://en.wikipedia.org/wiki/Louis_Palander,https://en.wikipedia.org/wiki/Operation_Windmill,"""Operation Windmill - Wikipedia"""
https://en.wikipedia.org/wiki/Louis_Palander,https://en.wikipedia.org/wiki/Alexander_von_Middendorff,"""Alexander von Middendorff - Wikipedia"""
https://en.wikipedia.org/wiki/Louis_Palander,https://en.wikipedia.org/wiki/Willem_Barentsz,"""Willem Barentsz - Wikipedia"""
https://en.wikipedia.org/wiki/Louis_Palander,https://en.wikipedia.org/wiki/Nimrod_(ship),"""Nimrod (ship) - Wikipedia"""
https://en.wikipedia.org/wiki/Louis_Palander,https://en.wikipedia.org/wiki/Operation_Tabarin,"""Operation Tabarin - Wikipedia"""
https://en.wikipedia.org/wiki/Louis_Palander,https://en.wikipedia.org/wiki/James_Cook,"""James Cook - Wikipedia"""
https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/James_Cook#cite_ref-23,"""James Cook - Wikipedia"""
https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/VIAF_(identifier),"""Virtual International Authority File - Wikipedia"""
https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/John_Cabot,"""John Cabot - Wikipedia"""
https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/James_Boswell,"""James Boswell - Wikipedia"""
https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/Northern_Canada,"""Northern Canada - Wikipedia"""
https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/James_Cook#cite_ref-36,"""James Cook - Wikipedia"""
https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/Olav_Bjaaland,"""Olav Bjaaland - Wikipedia"""
https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/Boris_Vilkitsky,"""Boris Vilkitsky - Wikipedia"""
https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/Category:All_articles_with_failed_verification,"""Category:All articles with failed verification - Wikipedia"""
https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/Captain_(Royal_Navy),"""Captain (Royal Navy) - Wikipedia"""
